N_ID , 
0 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
1 , x , x , x , x , x , x , x , x , x , x , x ,  
2 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
3 , x , x , x , x , x , x , x , x , x , x , x ,  
4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
5 , x , x , x , x , x , x , x , x , x , x , x ,  
6 , x , x , x , x , x , x , x , x , x , x , x ,  
7 , x , x , x , x , x , x , x , x , x , x , x ,  
8 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
9 , x , x , x , x , x , x , x , x , x , x , x ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 
FIRE , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 
