t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.930937 , -0.839747 , 0.0805994 , 0.382366 , -0.202734 , -0.96878 , 0.0378735 , 0.0741905 , -0.428236
1 , 0.958678 , 0.243446 , 0.652364 , -0.93646 , 0.43025 , 0.0688498 , 0.916593 , -0.835627 , 0.778802 , 0.0892972
2 , 0.435896 , -0.904691 , 0.89758 , 0.159368 , 0.799676 , 0.574999 , 0.0957671 , 0.207526 , 0.751335 , 0.597583
3 , 0.160222 , 0.200171 , 0.71926 , 0.581011 , 0.256172 , 0.845485 , -0.732322 , 0.371807 , 0.935789 , 0.917631
4 , -0.380779 , 0.0298776 , 0.620838 , 0.978881 , 0.762261 , 0.442274 , 0.247993 , 0.647114 , 0.187353 , 0.133641
5 , 0.532731 , 0.417005 , 0.31193 , 0.310862 , 0.413984 , 0.926481 , -0.661885 , 0.756523 , 0.0969573 , 0.858058
6 , -0.174108 , 0.89169 , 0.00100711 , 0.772881 , 0.80166 , 0.946867 , 0.749626 , 0.82757 , 0.425794 , 0.959716
7 , -0.0161748 , 0.947935 , 0.549883 , 0.840571 , 0.781365 , 0.187628 , 0.911344 , 0.946745 , 0.91699 , 0.627766
8 , 0.927122 , 0.213813 , 0.450911 , -0.709799 , 0.709891 , 0.260475 , 0.830287 , 0.91464 , 0.0908841 , 0.482284
9 , 0.773553 , 0.315226 , 0.473067 , -0.120853 , 0.193487 , 0.812433 , -0.300058 , 0.251564 , 0.873989 , -0.390088

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.744749 , -0.839747 , 0.0644795 , 0.382366 , -0.162188 , -0.775024 , 0.0302988 , 0.0741905 , -0.342589
1 , 0.958678 , 0.394757 , 0.652364 , -0.949168 , 0.43025 , 0.25508 , 0.933274 , -0.868502 , 0.778802 , 0.271438
2 , 0.435896 , -0.723753 , 0.89758 , 0.127494 , 0.799676 , 0.459999 , 0.0766137 , 0.166021 , 0.751335 , 0.478066
3 , 0.160222 , 0.360137 , 0.71926 , 0.664809 , 0.256172 , 0.876388 , -0.785858 , 0.497446 , 0.935789 , 0.934104
4 , -0.380779 , 0.0239021 , 0.620838 , 0.783105 , 0.762261 , 0.353819 , 0.198395 , 0.517692 , 0.187353 , 0.106912
5 , 0.532731 , 0.533604 , 0.31193 , 0.448689 , 0.413984 , 0.941185 , -0.729508 , 0.805219 , 0.0969573 , 0.886447
6 , -0.174108 , 0.913352 , 0.00100711 , 0.818305 , 0.80166 , 0.957494 , 0.799701 , 0.862056 , 0.425794 , 0.967772
7 , -0.0161748 , 0.958348 , 0.549883 , 0.872457 , 0.781365 , 0.350102 , 0.929075 , 0.957396 , 0.91699 , 0.702213
8 , 0.927122 , 0.17105 , 0.450911 , -0.56784 , 0.709891 , 0.20838 , 0.664229 , 0.731712 , 0.0908841 , 0.385827
9 , 0.773553 , 0.452181 , 0.473067 , -0.296683 , 0.193487 , 0.849947 , -0.440046 , 0.401251 , 0.873989 , -0.51207

t = 2
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.595799 , -0.839747 , 0.0515836 , 0.382366 , -0.12975 , -0.620019 , 0.024239 , 0.0741905 , -0.274071
