N_ID , 
0 , 0.682394 , 4.50185 , 15.7072 , -nan(ind) , -nan(ind) , -nan(ind) , -nan(ind) , -nan(ind) , -nan(ind) , -nan(ind) ,  
1 , 1.61113 , 5.61733 , 16.1999 , 18.2474 , 20.3043 , 23.7048 , 22.734 , 25.5099 , 26.8071 , 28.8 ,  
2 , 0.262947 , 5.16169 , 15.2168 , 17.855 , 18.3057 , 21.4809 , 20.4688 , 23.4703 , 25.9034 , 26.9848 ,  
3 , 1.30906 , 6.17946 , 14.4123 , 17.2166 , 18.9263 , 21.8594 , 21.5847 , 24.6101 , 26.6623 , 28.3565 ,  
4 , 0.219672 , 5.29698 , 15.3607 , 19.22 , 20.2168 , 23.6366 , 23.4398 , 26.8195 , 28.8753 , 30.5065 ,  
5 , 1.17978 , 6.37843 , 15.2765 , 16.2612 , 17.8851 , 20.9225 , 20.0481 , 23.3958 , 25.3177 , 26.8103 ,  
6 , 0.706626 , 5.0338 , 14.1004 , 16.7969 , 19.2849 , 22.0646 , 21.8285 , 24.0399 , 26.4141 , 28.2615 ,  
7 , 1.45433 , 4.27053 , 14.3662 , 17.4048 , 17.7685 , 20.8003 , 20.6421 , 23.2386 , 24.5688 , 26.6268 ,  
8 , 0.576983 , 5.34091 , 14.6408 , 16.863 , 18.7953 , 21.3163 , 21.4743 , 24.0603 , 26.0909 , 27.6709 ,  
9 , 0.0601825 , 4.52123 , 11.0734 , 14.5171 , 16.8467 , 19.9029 , 20.0532 , 21.8861 , 24.344 , 25.7161 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
