t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.489242 , -0.589709 , -0.947295 , 0.708609 , 0.330821 , 0.946867 , 0.133305 , 0.979369 , 0.589831 , 0.345683
1 , 0.157048 , 0.662679 , 0.0353404 , 0.67391 , 0.923978 , 0.225593 , 0.866115 , -0.274606 , -0.56737 , 0.849452
2 , 0.578875 , 0.62096 , 0.857143 , 0.523515 , 0.0656453 , 0.820978 , 0.195898 , -0.265725 , 0.282937 , -0.671072
3 , 0.797479 , 0.438887 , 0.337046 , 0.477248 , 0.139958 , 0.631306 , 0.329173 , 0.362651 , 0.288858 , 0.070864
4 , 0.804102 , 0.280007 , 0.182073 , 0.0409253 , 0.145878 , 0.448195 , 0.472549 , -0.266793 , 0.764977 , 0.430982
5 , 0.0203864 , -0.741935 , 0.419721 , 0.577685 , 0.629994 , 0.962004 , 0.516617 , -0.0431227 , 0.12421 , 0.036317
6 , 0.732627 , 0.107303 , 0.350902 , -0.644642 , 0.803766 , 0.0117496 , 0.214362 , 0.30842 , 0.823267 , 0.0330515
7 , 0.326182 , 0.945647 , 0.893307 , 0.010651 , 0.368816 , 0.176946 , 0.473952 , -0.0492569 , 0.765923 , 0.353343
8 , 0.273354 , 0.613117 , 0.752983 , 0.772515 , 0.0222785 , 0.7322 , -0.442244 , 0.0536821 , 0.97766 , 0.538072
9 , 0.975341 , 0.139775 , -0.497879 , 0.84875 , 0.357524 , 0.89465 , 0.534654 , 0.0211188 , 0.0676901 , 0.76516

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.591394 , -0.589709 , -0.947295 , 0.708609 , 0.464657 , 0.957494 , 0.306644 , 0.979369 , 0.671865 , 0.345683
1 , 0.125639 , 0.662679 , 0.0353404 , 0.67391 , 0.739183 , 0.180474 , 0.692892 , -0.274606 , -0.453896 , 0.849452
2 , 0.4631 , 0.62096 , 0.857143 , 0.523515 , 0.0525163 , 0.656783 , 0.156719 , -0.265725 , 0.22635 , -0.671072
3 , 0.637983 , 0.438887 , 0.337046 , 0.477248 , 0.111966 , 0.505045 , 0.263338 , 0.362651 , 0.231086 , 0.070864
