t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39
0 , 0.394513 , 0.218635 , 0.545183 , 0.0294198 , 0.435133 , 0.917081 , 0.762017 , 0.477035 , 0.452315 , 0.991058 , 0.595935 , 0.689108 , 0.428999 , 0.157811 , 0.955718 , 0.804498 , 0.129368 , 0.308298 , 0.95056 , 0.662954 , 0.361187 , 0.627308 , 0.174688 , 0.17835 , 0.269265 , 0.878323 , 0.901791 , 0.824793 , 0.0260323 , 0.279031 , 0.0839869 , 0.0361339 , 0.587909 , 0.914426 , 0.774773 , 0.895199 , 0.114139 , 0.944212 , 0.951048 , 0.0458998
1 , 0.0581378 , 0.250862 , 0.0597858 , 0.513321 , -0.606739 , 0.472091 , -0.0112918 , 0.98703 , 0.266488 , 0.523576 , 0.265694 , 0.617176 , 0.982482 , 0.859432 , 0.981597 , 0.478042 , 0.507859 , 0.727775 , 0.320566 , 0.634663 , 0.0643941 , 0.481918 , 0.423353 , 0.884823 , 0.921445 , 0.0986358 , 0.371075 , 0.377361 , 0.538682 , 0.952147 , 0.502426 , 0.499466 , 0.11298 , 0.540513 , 0.839747 , 0.30372 , 0.78225 , 0.0812708 , 0.129612 , 0.611042
2 , 0.108676 , -0.452345 , 0.822871 , 0.165746 , 0.205664 , 0.00949126 , 0.996673 , 0.927335 , 0.776086 , -0.10126 , 0.385052 , 0.469619 , 0.386456 , 0.622547 , 0.847041 , 0.908292 , 0.128269 , 0.835109 , 0.0990326 , 0.867702 , 0.848048 , 0.515183 , 0.878079 , 0.326762 , 0.623249 , 0.135197 , 0.0105899 , 0.382366 , 0.904874 , 0.840327 , 0.157476 , 0.301706 , 0.0714744 , 0.0145573 , 0.563829 , 0.392407 , 0.806024 , 0.0308237 , 0.624775 , 0.562334
3 , 0.939116 , -0.365612 , 0.0153508 , 0.399091 , -0.431745 , 0.289499 , 0.943907 , 0.636433 , 0.510605 , 0.539109 , 0.750725 , 0.215247 , 0.541307 , 0.176366 , 0.748955 , 0.571764 , 0.616627 , 0.296152 , 0.569048 , 0.520615 , 0.443373 , 0.379833 , 0.0456252 , 0.76101 , 0.943114 , 0.423933 , 0.627155 , 0.0458998 , 0.487045 , 0.776177 , 0.675375 , 0.274056 , 0.701926 , 0.304056 , 0.0371715 , 0.418256 , 0.507157 , 0.758538 , 0.760155 , 0.508591
4 , 0.481094 , 0.233253 , 0.732444 , 0.415754 , -0.959044 , 0.0550859 , 0.802667 , 0.356334 , 0.0440687 , 0.150731 , 0.28309 , 0.576312 , 0.893063 , 0.0514542 , 0.111698 , 0.132237 , 0.549028 , 0.719077 , 0.00897244 , 0.349559 , 0.587359 , 0.0278939 , 0.37788 , 0.198706 , 0.490097 , 0.0166631 , 0.820032 , 0.957488 , 0.34846 , 0.14951 , 0.9476 , 0.885098 , 0.228828 , 0.500107 , 0.712973 , 0.154668 , 0.103458 , 0.545122 , 0.945097 , 0.0787072
5 , 0.783166 , 0.94525 , 0.535691 , 0.812189 , 0.599139 , 0.85818 , 0.0108036 , 0.800562 , -0.0632344 , 0.831263 , 0.0464187 , 0.459578 , 0.564745 , 0.0129093 , 0.736076 , 0.0320444 , 0.0246284 , 0.0598773 , 0.595355 , 0.084872 , 0.448073 , 0.543046 , 0.759758 , 0.800256 , 0.464675 , 0.538194 , 0.594531 , 0.609485 , 0.929075 , 0.989532 , 0.869137 , 0.885128 , 0.663564 , 0.0245674 , 0.270425 , 0.660756 , 0.634693 , 0.318339 , 0.662709 , 0.81634
6 , -0.782708 , 0.0819117 , 0.136296 , 0.249214 , 0.14304 , 0.91641 , 0.642964 , 0.446638 , 0.355937 , 0.644704 , 0.887906 , 0.95999 , 0.638478 , 0.847102 , 0.129917 , 0.718314 , 0.951506 , 0.444807 , 0.0499283 , 0.504868 , 0.675741 , 0.597278 , 0.622761 , 0.894467 , 0.834559 , 0.76809 , 0.600024 , 0.541917 , 0.345988 , 0.671651 , 0.701804 , 0.575976 , 0.229835 , 0.461989 , 0.103397 , 0.675893 , 0.513199 , 0.610218 , 0.083285 , 0.69924
7 , 0.161199 , 0.315683 , -0.3726 , 0.0156865 , 0.304544 , 0.31428 , 0.735618 , 0.398633 , -0.115329 , 0.468429 , 0.352519 , 0.842677 , 0.743767 , 0.908139 , 0.676901 , 0.410199 , 0.2013 , 0.81399 , 0.687307 , 0.113254 , 0.078402 , 0.53325 , 0.683218 , 0.623341 , 0.135411 , 0.847865 , 0.993378 , 0.111667 , 0.319712 , 0.249611 , 0.0625629 , 0.705344 , 0.414808 , 0.0166936 , 0.433454 , 0.639302 , 0.699942 , 0.138768 , 0.302561 , 0.283944
8 , 0.641163 , -0.72396 , 0.788446 , 0.462508 , 0.628559 , 0.496384 , 0.443312 , 0.410962 , 0.865108 , 0.72396 , 0.0292978 , 0.909818 , 0.608966 , 0.330454 , 0.799066 , 0.813318 , 0.289804 , 0.294443 , 0.0188299 , 0.826258 , 0.922697 , 0.0710776 , 0.30549 , 0.211493 , 0.896786 , 0.113102 , 0.927122 , 0.887326 , 0.72454 , 0.412671 , 0.536729 , 0.986358 , 0.644673 , 0.594745 , 0.0480972 , 0.334544 , 0.504898 , 0.0153508 , 0.20484 , 0.475295
9 , 0.164251 , 0.405683 , 0.495651 , 0.106845 , -0.0263375 , 0.432325 , 0.0253914 , 0.329875 , 0.326975 , 0.749565 , 0.985565 , 0.158483 , 0.731864 , 0.313669 , 0.769951 , 0.687765 , 0.738701 , 0.707511 , 0.569872 , 0.575762 , 0.859676 , 0.640614 , 0.49028 , 0.860775 , 0.692618 , 0.55034 , 0.662893 , 0.668386 , 0.764428 , 0.0673238 , 0.916257 , 0.242164 , 0.585467 , 0.511032 , 0.664327 , 0.159154 , 0.0133061 , 0.576464 , 0.951567 , 0.920896
