N_ID , 
0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 ,  
1 , 0.889309 , 1.88931 , 2.88931 , 3.88931 , 4.88931 , 5.88931 , 6.88931 , 7.88931 , 8.88931 , 9.88931 ,  
2 , 0.568529 , 0.318529 , 1.31853 , 2.31853 , 3.31853 , 4.31853 , 5.31853 , 6.31853 , 7.31853 , 8.31853 ,  
3 , 0.172521 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
4 , 0.886166 , 0.636166 , 1.63617 , 2.63617 , 3.63617 , 4.63617 , 5.63617 , 6.63617 , 7.63617 , 8.63617 ,  
5 , 0.316294 , 1.31629 , 2.31629 , 3.31629 , 4.31629 , 5.31629 , 6.31629 , 7.31629 , 8.31629 , 9.31629 ,  
6 , 0.368908 , 1.36891 , 2.36891 , 3.36891 , 4.36891 , 5.36891 , 6.36891 , 7.36891 , 8.36891 , 9.36891 ,  
7 , 0.513596 , 1.5136 , 2.5136 , 3.5136 , 4.5136 , 5.5136 , 6.5136 , 7.5136 , 8.5136 , 9.5136 ,  
8 , 0.677358 , 1.67736 , 2.67736 , 3.67736 , 4.67736 , 5.67736 , 6.67736 , 7.67736 , 8.67736 , 9.67736 ,  
9 , 0.376385 , 0.126385 , 1.12638 , 2.12638 , 3.12638 , 4.12638 , 5.12638 , 6.12638 , 7.12638 , 8.12638 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
