N_ID , 
0 , 0.422407 , 0.172407 , 1.17241 , 2.17241 , 3.17241 , 4.17241 , 5.17241 , 6.17241 , 7.17241 , 8.17241 ,  
1 , 0.537187 , 0.287187 , 1.28719 , 2.28719 , 3.28719 , 4.28719 , 5.28719 , 6.28719 , 7.28719 , 8.28719 ,  
2 , 0.901914 , 0.651914 , 1.65191 , 2.65191 , 3.65191 , 4.65191 , 5.65191 , 6.65191 , 7.65191 , 8.65191 ,  
3 , 0.273843 , 1.27384 , 2.27384 , 3.27384 , 4.27384 , 5.27384 , 6.27384 , 7.27384 , 8.27384 , 9.27384 ,  
4 , 0.479965 , 1.47996 , 2.47996 , 3.47996 , 4.47996 , 5.47996 , 6.47996 , 7.47996 , 8.47997 , 9.47997 ,  
5 , 0.235206 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
6 , 0.330485 , 0.0804849 , 1.08048 , 2.08048 , 3.08048 , 4.08048 , 5.08048 , 6.08048 , 7.08048 , 8.08048 ,  
7 , 0.0158696 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
8 , 0.383404 , 1.3834 , 2.3834 , 3.3834 , 4.3834 , 5.3834 , 6.3834 , 7.3834 , 8.3834 , 9.3834 ,  
9 , 0.497452 , 1.49745 , 2.49745 , 3.49745 , 4.49745 , 5.49745 , 6.49745 , 7.49745 , 8.49745 , 9.49745 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
