t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , -0.200293 , -0.768303 , 0.226691 , 0.290963 , 0.128117 , 0.631367 , 0.181433 , 0.645314 , 0.315958 , 0.188757
1 , -0.0490127 , 0.577105 , 0.239814 , 0.319987 , 0.360973 , 0.400403 , 0.64626 , -0.601886 , 0.859371 , 0.16538
2 , 0.375317 , 0.36195 , 0.827082 , 0.399518 , 0.901456 , 0.633198 , -0.684988 , 0.347606 , 0.946104 , -0.0312815
3 , 0.148045 , 0.944212 , 0.933714 , 0.137974 , 0.755882 , 0.335063 , 0.0615864 , 0.472488 , 0.0943327 , 0.00469985
4 , 0.187078 , 0.59859 , -0.328501 , -0.71392 , -0.111698 , -0.957518 , 0.86166 , 0.746269 , 0.701163 , 0.89349
5 , 0.994629 , 0.699789 , -0.852504 , 0.306528 , 0.0588702 , -0.996521 , -0.727561 , 0.648061 , 0.20188 , 0.520249
6 , 0.881039 , 0.520707 , 0.608081 , 0.78573 , -0.939024 , 0.0674459 , 0.346721 , 0.55034 , 0.222358 , 0.820826
7 , 0.254372 , 0.885617 , 0.626942 , 0.55565 , 0.752586 , 0.825831 , 0.63628 , -0.892727 , 0.326975 , 0.746208
8 , 0.79751 , 0.572649 , 0.451979 , -0.795038 , 0.245918 , 0.215979 , 0.649434 , 0.266884 , 0.374798 , 0.455123
9 , 0.162847 , -0.534318 , 0.980926 , 0.432173 , 0.415448 , 0.0451064 , 0.965087 , 0.227119 , 0.989288 , 0.489547
10 , 0.494736 , 0.281472 , 0.548112 , 0.970702 , 0.849025 , 0.445784 , 0.179846 , 0.0787683 , 0.397809 , 0.810694
11 , 0.808435 , 0.40611 , 0.37434 , 0.68215 , 0.926359 , 0.636799 , 0.263497 , 0.501175 , 0.108402 , 0.877041
12 , 0.48735 , 0.558153 , 0.0551164 , 0.653706 , 0.819941 , 0.808344 , 0.794153 , 0.046968 , 0.551347 , 0.981109
13 , 0.975341 , 0.188025 , 0.683554 , 0.127506 , 0.56737 , 0.66155 , 0.121342 , 0.522233 , 0.140324 , 0.970641
